Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000187634,SAMD11,0.03733305609353462,-2.937593388908262,0.000000000000000000000000000000000000000000000000000000006508613394646022,0.3063737676815787,2.9980371774217573,0.0000000000000000000000000000000000000000000000000000000025501757971123844,0.1008989139444792,0.6810633960805617,0.5353172828223688
ENSG00000188976,NOC2L,0.6776383786279947,0.20222533539084053,0.16219294596600534,0.6004925846558942,-0.16665740518234906,0.2843912369628222,0.47566630859540193,-0.46775091637375854,0.5951091481805993
ENSG00000187961,KLHL17,0.12979748572054478,-1.393736937199787,0.0000000000000000003707450335263342,0.34313861980336813,1.3741703155690588,0.000000000000000028197105918613466,0.3171108723969346,1.0629085519711867,0.067465761450322
ENSG00000187583,PLEKHN1,0.1614871728697079,-0.7817369742332994,0.000001445942785841702,0.2833957351054603,0.8081417853495865,0.0000017086663552227564,0.21621195845245542,0.3630083103404056,0.6529495593903505
ENSG00000187642,PERM1,0.018883580698473908,-2.1896302032665136,0.0000000000005233921602585722,0.09191213030447361,2.277722823805715,0.0000000000002029709600303371,0.028828261126994055,0.599604351428006,0.8861598448053126
ENSG00000188290,HES4,0.49205836141885456,-1.429963978479797,0.00000000000000000000000000000000000013988063028867973,1.3097478568387488,1.3690256214916419,0.000000000000000000000000000007385344899722763,1.484655448040194,1.3158180804563184,0.00021693437540230723
ENSG00000187608,ISG15,1.137572947594273,-0.05228219139376769,0.6584308173948775,1.1887302186045252,0.0639413091225452,0.6082344012405421,1.0954739228257742,-0.06418663430263583,1
ENSG00000188157,AGRN,3.0621788102766656,0.17003171383600302,0.17101326961299365,2.6378781397383926,-0.2196196365744294,0.0906288280639618,3.5314619880567717,0.21614495276076617,0.601061524135211
ENSG00000237330,RNF223,0.025829265553085002,-1.6717818984038955,0.0000000011597174185936551,0.08272091727402624,1.654414011435076,0.000000006862899428425466,0.07207065281748513,1.3661142212082273,0.24505186733439704
ENSG00000131591,C1orf159,0.11091390502207088,-0.46619776475400077,0.017598523291391648,0.14399567081034198,0.3643000715449971,0.08781899281041752,0.23062608901595244,1.068384074113188,0.10572722920204938
ENSG00000162571,TTLL10,0.013891369709222185,-4.3841237056012785,0.000000000000000000000000000000000000000000000000000000000000000000000000000020880581993385005,0.049019802829052585,-0.053405237071614486,0.895093035163533,2.594543501429465,7.124028261231878,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001664260799161531
ENSG00000186891,TNFRSF18,0.7295139623858713,0.15457886193401343,0.28931568239522265,0.6924047149603678,-0.06188163917525019,0.7265186770647414,0.3026967418334376,-1.2135622933396593,0.05946864040654864
ENSG00000186827,TNFRSF4,0.05296084701640958,-2.386195650580253,0.00000000000000000000000000000000000000003932119574057046,0.30331003000476287,2.527095971531474,0.000000000000000000000000000000000000000000016333436543868238,0.028828261126994055,-0.9821051714980626,0.4775949062337178
ENSG00000078808,SDF4,2.6628019311365274,-0.12659880766532616,0.28039715469017423,2.971825546511313,0.15988430934631914,0.19076248832963094,2.3206750207230216,-0.23057218459257234,0.8699863941807267
ENSG00000176022,B3GALT6,0.25438570780013126,-0.6997962745734914,0.0000013681990669231847,0.4258595370773944,0.7425815667064621,0.0000008820395844303103,0.28828261126994054,0.1135808350478158,0.8931389708967539
ENSG00000184163,C1QTNF12,0.01606189622628815,-1.4873573272664675,0.00003760831022445012,0.047487933990644694,1.590911069128917,0.00001532978496275791,0.014414130563497028,0.49617476177260045,1
ENSG00000160087,UBE2J2,0.5389417341874795,0.3972141941876368,0.007544079882986382,0.40747711101649964,-0.39566044162059855,0.01163503016448475,0.4180097863414138,-0.29423009135506584,0.8073052872543254
ENSG00000162572,SCNN1D,0.05209263640958319,-1.5790715245891214,0.0000000000004789083613410632,0.16390996570964458,1.651211579396732,0.0000000000001998014371378928,0.07207065281748513,0.36611422120822734,0.8538203946438829
ENSG00000131584,ACAP3,1.4080205516206925,-0.21034761801708246,0.08066613078765504,1.6773963780566432,0.2551930103233375,0.04176715862411523,1.1819587062067562,-0.28941835989648945,0.7989007759739747
ENSG00000169972,PUSL1,0.11004569441524449,-0.4110176661949283,0.04016136799174845,0.14399567081034198,0.3891034625455698,0.06784621219920693,0.1585554361984673,0.5754380402972541,0.5107548519970319
ENSG00000127054,INTS11,2.33548653236298,-0.050571941646866625,0.6700213703435245,2.4326077153917347,0.057924647232171944,0.6441274023721892,2.3062608901595243,-0.037094504767062775,0.9855816934079936
ENSG00000224051,CPTP,0.3429431896964227,-0.4201996773924488,0.0029889287416122734,0.44730570081510485,0.3718173392227637,0.01273049953237902,0.5621510919763841,0.6748881269801167,0.1839144384658415
ENSG00000169962,TAS1R3,0.032774950407696096,-2.0088168856814654,0.0000000000000000030185926833190563,0.1378681954567104,2.0520124738795715,0.000000000000000004271417674584106,0.07207065281748513,0.8901944797823615,0.5073860617839002
ENSG00000107404,DVL1,1.0231862001448966,-0.12337587136940345,0.32275480425954634,1.0891587441080122,0.08305080266319631,0.5222991106830293,1.3549282729687206,0.38827749238488135,0.3989621469986882
