Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000187634,SAMD11,0.03736161787642569,-2.929481070598848,0.000000000000000000000000000000000000000000000000000000011317149175722766,0.2852434817475994,2.929481070598848,0.000000000000000000000000000000000000000000000000000000011317149175722766
ENSG00000188976,NOC2L,0.6770707146559237,0.19119157351420635,0.18805685194088997,0.5925347688476702,-0.19119157351420635,0.18805685194088997
ENSG00000187961,KLHL17,0.12989678773315444,-1.3856246188903727,0.0000000000000000006237025494026804,0.3389850072942485,1.3856246188903727,0.0000000000000000006237025494026804
ENSG00000187583,PLEKHN1,0.1616107191863995,-0.7736246559238849,0.0000018283283327352348,0.2755975669058931,0.7736246559238849,0.0000018283283327352348
ENSG00000187642,PERM1,0.018898027646796715,-2.1815178849571,0.0000000000006186943837480323,0.08543524574082687,2.1815178849571,0.0000000000006186943837480323
ENSG00000188290,HES4,0.49178315623388236,-1.428267328930925,0.00000000000000000000000000000000000012987369227277816,1.3242463089828165,1.428267328930925,0.00000000000000000000000000000000000012987369227277816
ENSG00000187608,ISG15,1.1380088142708964,-0.04809909344292823,0.6820396481289313,1.1768016106881636,0.04809909344292823,0.6820396481289313
ENSG00000188157,AGRN,3.0623493536154034,0.16980892889420307,0.17058667954113663,2.7242819488647534,-0.16980892889420307,0.17058667954082674
ENSG00000237330,RNF223,0.025631807612896695,-1.699589154349423,0.0000000005467618187625516,0.08267927007176794,1.699589154349423,0.0000000005467618187625516
ENSG00000131591,C1orf159,0.11099876008635773,-0.4580854464445867,0.020274426083127246,0.15157866179824123,0.4580854464445867,0.020274426083127246
ENSG00000162571,TTLL10,0.013901997349367699,-4.3760113872918645,0.000000000000000000000000000000000000000000000000000000000000000000000000000033260473233189337,0.2921334209202467,4.3760113872918645,0.000000000000000000000000000000000000000000000000000000000000000000000000000033260473233189337
ENSG00000186891,TNFRSF18,0.7289859860074687,0.14540539586688933,0.3188791599619149,0.6586781849050846,-0.14540539586688933,0.3188791599619149
ENSG00000186827,TNFRSF4,0.05256692747729661,-2.4041929936738757,0.000000000000000000000000000000000000000006676439745164457,0.27835354257495204,2.4041929936738757,0.000000000000000000000000000000000000000006676439745164457
ENSG00000078808,SDF4,2.662884148529666,-0.12570908486349253,0.282943519327171,2.9075543308571725,0.12570908486349253,0.282943519327171
ENSG00000176022,B3GALT6,0.254580326460296,-0.6916839562640771,0.000001873057814353716,0.41064037468978076,0.6916839562640771,0.000001873057814353716
ENSG00000184163,C1QTNF12,0.0160741844352064,-1.4792450089570535,0.00003946492341530948,0.044095610704942896,1.4792450089570535,0.00003946492341530948
ENSG00000160087,UBE2J2,0.5387023972879983,0.3890347655998454,0.008850714585223697,0.41064037468978076,-0.3890347655998454,0.008850714585223697
ENSG00000162572,SCNN1D,0.05213249006012887,-1.5709592062797064,0.0000000000008384879431194497,0.15433463746730014,1.5709592062797064,0.0000000000008384879431194497
ENSG00000131584,ACAP3,1.408228887749231,-0.20801552475447127,0.08356307681235359,1.6274036325792989,0.20801552475447127,0.08356307681241994
ENSG00000169972,PUSL1,0.11012988525202225,-0.4029053478855138,0.04559935700807364,0.14468872262559387,0.4029053478855138,0.04559935700807364
ENSG00000127054,INTS11,2.334666679859438,-0.053933944993796556,0.6491134832366621,2.4252585887718596,0.053933944993796556,0.6491134832367312
ENSG00000224051,CPTP,0.34255390343676345,-0.4278053754261566,0.002452556896484817,0.46024793673284153,0.4278053754261566,0.002452556896484817
ENSG00000169962,TAS1R3,0.03280002499616441,-2.0007045673720514,0.000000000000000003940795257345395,0.13090884428029922,2.0007045673720514,0.000000000000000003940795257345395
ENSG00000107404,DVL1,1.0235345548471968,-0.1194510968309227,0.34093520873149824,1.1120361824652787,0.1194510968309227,0.34093520873149824
ENSG00000162576,MXRA8,0.4811394395132727,-2.274441267165242,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016133225678514486,2.330177428189326,2.274441267165242,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016133225678514486
ENSG00000175756,AURKAIP1,2.1359115615051967,0.06073424861810328,0.6520378156945027,2.0490679099453155,-0.06073424861810328,0.6520378156945794
ENSG00000221978,CCNL2,8.190448625863413,-0.3309114284519943,0.0024061214441305494,10.31286095361852,0.3309114284519943,0.0024061214441305494
ENSG00000235098,ANKRD65,0.736805859516488,-0.22994461427513074,0.06924222891845766,0.8639983722499749,0.22994461427513074,0.06924222891845766
ENSG00000205116,TMEM88B,0.019766902481132196,-1.46203571892483,0.018885403666237557,0.05374152554664916,1.46203571892483,0.018885403666237557
ENSG00000179403,VWA1,0.7085674274005849,-0.6155677980160748,0.0000003585620923719936,1.085854413609219,0.6155677980160748,0.0000003585620923719936
ENSG00000215915,ATAD3C,0.0599523635691482,-1.009359032682589,0.000004617632345760827,0.1198849416040635,1.009359032682589,0.000004617632345760827
ENSG00000160072,ATAD3B,0.6186388820468626,0.31671529934219966,0.02883160437520099,0.4960756204306076,-0.31671529934219966,0.02883160437520099
ENSG00000197785,ATAD3A,0.4014201734629923,0.47461441164359286,0.0026926221755006917,0.28799945741665833,-0.47461441164359286,0.0026926221755006917
ENSG00000205090,TMEM240,0.08840801439363521,-1.8981348337315034,0.0000000000000000000000000000006736905649348928,0.3293390924525423,1.8981348337315034,0.0000000000000000000000000000006736905649348928
